J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,SAMPLE 
4,7,5,4,5,4,6,5,4,5,5,5,7,4,5,2,5,5,5,6,5,4,3,6,5,5,3,4,4,12705
5,6,5,5,5,5,3,6,7,4,5,6,5,6,6,6,7,5,5,5,6,5,5,6,6,5,7,6,6,12705
7,7,5,6,6,7,7,5,7,2,7,6,6,6,8,6,8,7,8,5,3,8,5,8,5,6,4,7,6,12705
5,4,4,4,3,7,4,5,5,7,4,4,3,3,6,4,4,3,5,5,5,5,3,5,6,3,5,2,4,12705
6,7,4,7,6,6,7,6,6,6,6,4,6,8,6,6,7,6,6,7,6,6,6,6,7,6,5,6,6,12705
4,5,5,5,5,4,5,5,5,5,7,3,5,5,4,5,6,5,5,6,6,5,6,4,5,6,5,6,4,12705
10,9,10,8,9,10,9,9,9,8,9,10,9,7,9,8,7,10,11,8,8,10,8,10,9,9,8,9,10,12705
7,5,5,5,5,5,4,5,4,4,4,5,2,6,4,4,7,2,3,3,4,4,4,3,4,6,6,5,4,12705
9,6,10,6,7,8,9,6,8,9,5,8,7,6,8,6,9,8,8,6,6,8,7,9,6,8,6,8,8,12705
4,4,4,3,4,3,5,4,5,6,5,4,5,4,4,4,2,4,5,6,6,4,2,4,5,4,5,3,4,12705
11,9,10,11,10,9,10,11,11,11,9,11,11,7,11,9,11,11,9,7,9,11,9,11,10,10,10,11,11,12705
2,5,6,6,6,2,6,2,1,2,1,6,5,6,4,3,6,7,1,2,2,1,5,1,2,5,2,5,3,12705
8,10,7,8,8,8,7,9,8,7,9,7,8,8,8,9,8,8,9,6,8,9,8,7,8,8,7,9,7,12705
9,11,8,10,9,11,8,10,10,6,11,10,9,9,9,9,7,11,11,10,10,9,10,7,11,11,10,8,8,12705
3,5,3,4,3,3,6,4,5,5,6,5,6,4,2,1,5,4,4,6,5,4,3,4,4,4,5,4,2,12705
8,6,5,6,6,7,7,4,4,4,6,6,6,5,9,6,9,8,8,4,4,8,5,8,4,6,5,7,5,12705
9,9,6,7,8,8,9,7,6,9,8,9,10,7,9,8,8,9,8,5,8,8,7,9,7,6,11,9,7,12705
6,10,8,10,9,10,9,8,9,7,11,9,8,10,8,8,6,8,9,11,9,8,9,7,10,8,8,8,8,12705
7,6,5,6,6,6,6,5,4,4,7,4,6,5,6,6,7,6,4,6,4,6,5,8,5,6,4,6,5,12705
5,5,6,4,5,4,4,4,5,5,6,4,5,2,3,5,2,5,5,5,6,5,6,6,6,5,6,5,5,12705
9,7,9,7,8,8,10,6,6,6,3,7,7,6,7,7,8,7,8,8,3,10,5,9,2,6,4,7,7,12705
6,6,5,6,6,5,7,1,6,1,2,7,6,6,5,6,7,7,2,1,1,6,5,2,1,4,3,5,6,12705
5,6,7,4,6,6,4,6,5,7,6,5,5,3,6,7,5,5,6,6,6,5,6,7,7,5,5,6,4,12705
8,11,11,9,7,9,8,9,10,9,10,10,8,7,10,10,10,9,9,6,8,8,9,9,10,8,7,10,9,12705
10,8,9,10,10,9,10,9,7,10,9,11,10,7,10,9,10,10,10,7,9,8,8,11,10,9,9,10,10,12705
5,3,3,2,2,4,2,4,4,6,4,4,4,7,5,5,3,3,5,4,5,5,3,5,6,2,6,1,4,12705
11,10,11,11,11,11,11,11,11,11,10,10,11,7,11,11,11,10,9,9,10,11,11,10,11,11,10,11,11,12705
2,5,6,6,6,3,6,2,1,2,1,6,6,6,3,3,7,7,1,1,2,1,5,2,1,4,1,5,4,12705
6,9,8,9,8,9,9,9,10,7,10,8,7,10,8,10,8,7,8,11,11,9,11,7,9,6,9,8,9,12705
5,6,5,6,6,5,6,3,2,3,3,3,6,6,7,6,7,5,6,4,2,6,5,8,4,6,4,5,4,12705
6,6,8,6,7,5,7,5,6,4,3,7,6,6,5,6,8,7,2,5,3,8,5,4,3,5,3,7,8,12705
9,8,10,8,8,9,10,10,10,8,7,9,10,8,10,11,10,9,8,7,9,8,10,9,9,8,9,10,10,12705
6,3,3,1,3,4,2,4,4,4,4,4,2,5,4,5,4,2,4,3,4,5,4,5,5,3,6,5,6,12705
2,5,5,6,6,1,3,4,2,3,2,2,3,6,5,3,4,5,2,3,3,2,5,3,3,4,1,4,3,12705
7,8,7,7,7,7,5,8,8,8,8,8,6,7,8,7,6,7,7,8,7,6,8,8,8,6,5,8,7,12705
4,5,6,6,5,5,6,2,2,3,2,2,6,6,3,6,5,4,3,2,2,2,5,3,2,4,2,6,5,12705
1,4,2,6,3,4,5,2,2,2,2,2,6,6,6,4,6,5,2,2,3,3,5,3,3,3,3,4,6,12705
4,7,5,6,4,4,6,5,5,5,8,5,5,5,4,5,5,6,5,6,6,5,6,6,5,8,3,6,6,12705
3,2,2,5,3,5,1,3,3,3,4,1,4,6,2,3,3,1,3,2,4,4,5,3,3,1,4,2,3,12705
7,6,5,7,5,6,7,6,6,6,6,4,6,7,5,5,4,5,6,7,5,7,6,5,6,7,8,6,5,12705
7,6,8,7,5,8,7,8,7,10,8,7,8,8,7,8,8,8,7,7,8,7,9,8,8,10,7,9,9,12705
2,5,1,3,1,1,6,4,4,5,4,3,4,5,1,1,3,5,4,5,4,4,2,4,4,1,2,4,1,12705
4,3,4,5,4,5,5,6,3,5,6,6,4,5,7,4,5,5,5,5,5,3,4,4,4,4,4,4,3,12705
8,6,6,8,8,6,8,6,6,4,6,6,8,5,7,5,8,7,6,6,5,6,7,4,4,6,8,7,6,12705
7,10,7,7,7,7,6,8,7,8,10,8,7,8,7,8,6,7,7,5,9,9,8,7,8,6,9,8,6,12705
8,8,8,7,8,9,9,10,7,7,8,7,7,11,7,9,9,7,7,9,9,9,9,7,8,8,9,8,7,12705
7,5,7,5,6,7,6,7,6,8,7,5,7,10,6,7,5,6,7,8,7,6,7,7,6,7,6,7,5,12705
9,9,8,8,10,8,7,8,7,6,8,9,8,7,8,7,9,9,8,7,8,8,7,9,7,9,10,9,8,12705
3,4,3,3,4,4,5,3,3,4,3,3,3,5,3,3,4,2,3,4,4,3,4,3,4,4,4,2,2,12705
5,5,6,5,4,5,3,5,5,7,5,4,5,9,5,6,5,4,6,6,6,5,6,5,7,5,6,3,5,12705
1,2,2,4,4,4,2,3,3,3,3,1,4,6,2,2,2,1,3,3,3,2,4,2,3,2,4,4,2,12705
7,2,4,3,4,5,5,6,5,6,4,5,4,3,5,5,3,4,5,4,5,5,3,8,6,3,6,3,5,12705
4,6,7,4,5,6,6,6,7,8,6,6,7,4,5,6,6,6,7,8,6,7,6,6,8,6,6,5,7,12705
7,3,4,4,5,5,5,6,6,5,5,4,1,7,6,5,4,3,5,6,5,5,3,6,6,5,5,4,5,12705
7,7,8,7,4,7,6,7,6,6,5,7,5,8,7,7,7,7,7,8,7,7,7,7,6,7,5,7,7,12705
6,7,7,6,6,6,5,7,6,6,7,8,8,4,4,6,8,8,7,7,7,7,6,8,7,8,7,7,8,12705
6,6,7,5,6,6,4,6,6,6,6,6,5,7,5,7,6,6,6,6,6,4,6,5,7,7,7,6,6,12705
5,1,3,3,2,6,4,3,5,4,3,5,3,5,3,5,5,6,4,3,4,3,5,5,4,4,5,3,3,12705
7,5,7,5,6,6,5,7,6,7,7,5,4,9,6,6,5,4,6,8,6,7,6,6,6,5,8,6,7,12705
4,8,6,7,8,7,8,6,7,5,6,7,9,3,4,6,7,7,6,8,7,6,8,5,5,7,5,6,7,12705
6,7,9,4,7,7,7,7,6,6,7,6,7,5,8,6,7,7,5,5,6,7,6,7,6,8,6,8,7,12706
6,3,5,5,3,4,3,3,1,1,1,7,5,4,3,3,6,5,1,3,4,5,4,5,2,3,5,4,4,12706
2,5,7,6,4,4,6,6,7,5,5,7,5,4,8,4,5,6,5,5,5,4,4,5,4,5,4,3,2,12706
5,5,5,5,3,5,4,2,3,4,5,4,1,5,4,5,5,4,6,3,2,2,5,4,3,3,4,5,5,12706
6,5,6,4,5,7,4,4,2,4,2,3,4,5,4,4,8,3,4,6,3,5,6,2,5,4,2,5,6,12706
3,6,8,4,4,4,5,7,4,6,7,6,6,3,5,1,4,6,4,8,5,7,7,6,6,7,5,4,3,12706
8,7,8,7,9,5,8,8,7,6,8,6,6,9,6,7,3,5,8,9,8,8,8,7,8,4,7,7,5,12706
4,2,5,3,1,5,2,2,2,8,3,1,3,3,2,3,2,1,3,3,5,3,4,5,3,2,3,3,4,12706
5,4,3,2,6,5,5,5,7,5,6,5,6,2,5,5,4,4,6,5,6,5,7,4,7,4,7,5,4,12706
4,5,7,6,5,3,6,5,7,4,5,7,5,5,8,6,7,7,7,7,5,6,6,7,6,5,5,4,7,12706
6,7,5,5,6,6,6,5,4,5,4,5,2,7,5,6,7,5,5,4,5,4,5,5,5,6,5,6,4,12706
3,4,4,5,6,4,6,6,6,7,6,5,6,8,5,5,4,5,5,6,6,5,2,6,7,6,6,3,3,12706
8,10,6,9,8,10,10,8,9,8,9,9,10,7,10,8,9,10,6,6,8,9,8,9,10,7,10,10,9,12706
6,8,7,6,6,8,8,6,5,5,6,5,4,6,6,6,6,8,7,6,4,7,5,7,7,7,6,7,7,12706
5,4,5,6,3,5,4,3,5,2,3,4,5,6,5,4,6,4,5,2,3,2,4,2,2,5,3,4,5,12706
5,6,8,6,5,4,6,6,4,5,6,7,6,3,7,5,5,6,5,7,5,6,6,3,7,6,6,6,5,12706
2,5,4,3,6,2,5,5,6,6,7,5,7,1,4,2,2,3,4,9,7,4,7,3,7,6,8,5,5,12706
5,4,6,3,5,6,4,4,3,4,5,5,4,4,5,6,7,7,7,4,3,3,3,5,6,5,3,5,6,12706
8,8,6,7,8,6,6,8,8,7,9,6,7,8,7,8,3,6,6,4,9,8,8,4,8,6,9,7,6,12706
3,4,3,6,4,5,5,5,6,6,6,5,6,8,3,4,3,3,3,4,7,5,1,3,6,2,7,5,5,12706
5,6,3,4,7,5,5,7,6,8,7,4,7,7,5,7,3,4,4,8,7,4,7,3,6,5,7,6,5,12706
6,7,7,7,7,6,6,6,6,7,7,6,7,6,7,6,6,6,6,6,6,7,7,8,6,9,7,7,8,12706
5,4,4,5,4,3,3,4,5,5,5,4,4,5,4,5,5,4,5,4,3,4,5,6,4,5,5,4,3,12706
10,9,10,8,8,9,7,9,10,9,8,10,9,7,9,9,10,9,9,8,8,8,9,10,9,9,8,9,9,12706
8,6,6,8,10,7,7,9,9,6,10,8,8,10,7,9,4,6,10,6,10,9,8,4,8,4,9,6,6,12706
6,5,7,5,5,6,7,3,5,3,3,4,3,5,6,5,6,5,7,7,2,5,5,6,4,5,2,5,6,12706
4,3,2,6,2,3,3,3,4,4,3,2,4,5,3,3,5,5,3,3,4,3,3,5,3,4,4,2,3,12706
7,6,6,7,7,6,7,6,6,8,4,9,8,4,6,7,7,6,7,5,6,6,6,8,3,4,6,6,7,12706
4,5,4,5,5,3,5,6,5,5,4,5,5,7,4,5,5,5,6,4,5,5,5,4,5,6,5,6,5,12706
7,6,8,8,6,6,8,6,5,8,5,8,8,6,6,7,6,7,8,7,6,6,4,7,5,7,6,6,7,12706
7,8,6,10,7,8,9,8,7,9,6,7,6,8,7,8,7,8,8,8,7,8,5,8,6,7,6,7,8,12706
6,6,7,8,6,6,8,7,7,7,6,6,6,6,6,7,6,7,8,7,7,7,5,7,5,8,6,7,8,12706
9,9,9,9,9,9,7,10,8,10,8,8,9,9,7,10,5,8,9,10,9,10,10,6,9,8,7,9,10,12706
4,3,3,4,4,4,3,4,5,3,4,3,5,4,4,4,4,4,4,5,4,3,3,5,4,4,3,3,4,12706
7,8,6,7,8,8,5,7,8,7,8,6,7,7,8,7,9,8,8,7,8,7,7,8,8,10,8,8,8,12706
7,6,4,7,7,8,9,7,8,7,7,8,8,6,9,8,8,9,6,6,7,6,9,9,7,7,8,8,7,12706
9,7,5,5,5,7,4,5,4,3,5,7,4,6,6,5,8,6,4,6,4,6,6,6,5,6,4,5,6,12706
1,1,2,1,2,1,1,4,3,6,4,3,3,2,1,2,1,2,2,5,4,4,2,4,4,1,4,1,2,12706
5,7,5,3,5,7,5,5,5,4,6,6,5,6,6,6,8,7,7,2,6,6,6,6,5,8,4,8,6,12706
3,2,1,2,4,2,4,4,4,6,4,3,5,3,2,3,4,3,3,5,5,5,3,1,4,3,5,2,1,12706
7,5,4,6,6,7,6,5,6,5,5,4,3,4,5,6,6,5,5,5,6,6,6,6,5,5,5,6,6,12706
4,3,5,4,3,5,2,1,3,2,2,2,2,5,3,4,5,2,2,1,1,1,4,5,1,3,1,4,4,12706
6,5,4,6,6,8,6,7,5,5,6,4,3,3,6,5,4,7,7,6,6,6,4,6,5,4,6,6,6,12707
7,6,7,7,5,7,7,6,4,3,5,6,6,6,7,7,8,8,4,6,3,3,5,6,6,7,4,6,5,12707
7,7,6,7,6,8,9,5,4,3,6,6,4,7,6,6,6,6,4,5,5,6,6,5,4,7,4,7,5,12707
4,8,9,11,8,3,7,6,7,9,6,7,10,5,7,7,7,7,7,6,7,7,9,3,9,9,6,7,7,12707
7,7,6,4,6,6,6,6,5,6,7,6,6,5,4,6,5,6,6,5,7,6,6,6,6,4,5,7,5,12707
4,5,7,7,2,6,2,5,5,2,4,6,1,4,2,3,5,3,3,3,4,4,5,5,3,5,3,5,5,12707
9,8,9,4,8,10,9,9,11,7,8,8,8,8,10,7,7,8,8,11,9,10,9,8,7,8,7,9,10,12707
8,9,11,11,8,9,9,7,9,8,8,8,8,9,8,9,5,8,9,9,8,11,7,8,6,7,9,8,8,12707
4,3,4,4,4,4,5,4,6,6,5,2,1,8,3,5,2,3,5,6,7,5,3,2,4,5,6,3,6,12707
3,4,4,5,1,4,3,3,3,3,3,2,4,6,2,3,1,2,1,4,5,4,4,3,4,5,2,3,3,12707
5,4,6,4,5,6,7,4,5,4,4,3,5,6,6,5,5,6,3,5,4,4,7,5,5,4,3,5,5,12707
6,8,6,6,7,7,6,7,7,9,7,7,8,8,7,8,3,6,8,8,8,7,7,7,9,9,6,6,9,12707
8,8,6,9,8,7,7,6,6,8,6,8,6,6,6,8,6,6,4,5,5,7,6,6,5,3,6,6,9,12707
9,10,10,8,8,7,9,8,9,11,11,11,10,9,7,9,5,8,9,11,10,10,9,8,7,7,8,8,11,12707
9,7,6,9,5,6,4,6,5,3,7,5,6,6,5,8,4,5,4,4,4,7,5,4,6,5,6,6,6,12707
5,4,4,4,6,4,5,5,3,4,3,4,3,4,4,5,4,6,5,4,5,5,4,6,5,3,5,6,4,12707
4,4,7,5,4,6,4,1,3,3,4,3,3,6,2,4,5,4,3,7,5,3,5,6,2,4,2,3,4,12707
8,8,7,11,8,8,8,8,8,5,7,5,4,5,8,6,6,7,7,6,5,8,7,4,7,6,6,6,9,12707
9,10,9,8,9,8,10,8,9,8,10,9,8,9,9,8,8,9,9,10,11,8,10,9,9,9,11,9,8,12707
4,4,4,5,4,4,7,5,4,7,6,2,6,7,5,5,4,4,4,6,6,5,4,7,6,5,5,3,3,12707
6,4,6,5,4,6,7,6,4,4,5,2,6,6,5,4,3,6,4,6,5,4,5,3,5,3,4,6,4,12707
4,7,9,6,7,5,7,8,9,8,7,7,7,10,6,6,4,6,11,10,8,6,7,8,7,7,7,7,8,12707
8,8,7,8,9,10,10,7,8,8,8,8,10,8,9,8,8,9,8,9,9,8,8,9,7,8,8,9,7,12707
4,4,6,7,4,6,5,5,4,1,3,6,3,6,7,6,6,5,4,2,3,2,5,6,3,6,3,4,5,12707
5,5,3,5,5,3,5,4,5,7,5,5,6,3,4,6,4,4,5,5,6,4,4,4,6,5,5,5,5,12707
3,3,3,4,4,6,5,5,5,5,3,4,3,2,3,4,4,6,4,5,6,5,4,5,4,6,5,7,6,12707
8,6,6,8,9,7,8,4,7,8,6,6,5,8,5,7,5,7,7,6,7,6,6,6,7,5,8,7,6,12707
3,5,3,4,3,4,3,5,4,5,5,4,2,7,4,3,3,4,2,4,5,5,3,6,7,3,5,4,5,12707
5,5,9,2,7,5,9,9,8,10,6,7,7,10,8,7,2,7,10,8,9,8,8,8,8,5,8,7,8,12707
6,5,8,4,6,5,5,4,6,6,6,4,5,4,4,6,5,5,6,5,6,7,3,6,5,4,6,4,6,12707
5,6,8,4,5,5,8,7,8,9,4,7,7,9,6,6,5,5,8,7,8,6,7,7,7,3,9,6,7,12707
6,8,8,3,8,8,9,9,9,10,9,8,8,9,7,10,6,7,11,11,10,10,8,8,8,7,10,7,8,12707
3,2,5,5,4,4,3,4,3,4,1,3,2,6,3,3,5,4,4,6,3,3,5,4,3,6,3,4,3,12707
1,1,5,1,1,1,3,5,4,5,2,6,5,1,3,1,3,3,4,5,3,4,1,1,3,6,6,3,1,12707
5,6,7,7,4,6,4,7,3,6,4,5,6,6,8,6,5,7,4,6,4,3,5,5,5,6,3,5,4,12707
5,6,8,4,7,5,6,7,7,9,7,7,7,11,7,7,4,5,11,10,9,7,8,8,8,6,8,6,7,12707
3,5,8,5,4,7,5,6,7,5,5,5,3,5,5,4,2,2,4,4,5,4,5,7,5,6,4,6,4,12707
7,6,8,4,6,7,7,7,5,5,6,6,5,6,9,5,6,7,6,6,4,5,6,5,6,4,4,7,4,12707
9,7,8,10,9,9,8,8,8,7,7,8,8,7,9,8,8,9,7,7,7,8,7,9,6,7,9,9,7,12707
5,6,7,6,6,3,7,6,6,7,3,6,7,3,5,5,6,4,5,7,6,6,2,6,7,4,6,6,6,12707
6,4,4,5,6,6,6,5,6,6,7,4,7,3,5,7,4,5,5,7,6,6,3,8,6,4,8,5,7,12707
5,7,6,5,6,7,5,7,7,4,8,9,6,5,8,7,7,7,6,4,7,7,8,6,8,7,5,8,7,12707
7,7,5,6,8,6,7,7,6,6,7,6,4,4,6,6,6,8,6,5,5,6,6,5,6,4,5,6,5,12707
8,8,5,3,8,8,10,7,7,7,8,7,7,5,7,8,6,9,7,5,7,7,7,7,6,7,5,7,6,12707
7,6,6,6,8,6,8,6,6,6,6,6,4,4,8,6,6,7,6,5,5,6,6,4,5,4,5,8,5,12707
7,7,5,7,7,6,6,4,5,6,5,4,5,4,6,6,4,6,6,6,6,7,4,5,5,4,5,5,6,12707
10,9,10,9,10,10,8,10,9,8,10,10,9,8,9,10,11,10,8,8,8,9,10,10,10,11,10,10,9,12707
6,2,2,3,4,3,2,4,5,5,4,4,2,7,4,4,1,3,3,5,6,6,2,2,5,1,6,2,6,12707
7,6,5,5,6,6,6,6,6,6,6,4,5,4,6,6,6,6,6,6,6,6,6,6,5,8,7,6,6,12707
8,6,6,8,7,8,7,8,8,6,7,7,6,7,6,6,9,8,6,6,5,8,7,5,7,6,6,8,7,12707
1,4,3,2,1,2,4,4,3,4,5,3,3,5,3,2,4,6,4,5,3,5,4,2,5,6,7,4,3,12707
11,9,11,9,11,9,11,11,10,8,8,10,10,8,10,9,10,10,9,11,9,11,11,10,11,9,8,11,11,12707
7,6,5,6,6,6,6,4,1,3,5,5,4,7,5,4,5,5,6,7,2,7,6,5,3,6,4,5,4,12707
9,8,6,9,7,6,7,6,6,5,6,5,4,7,7,6,7,6,7,6,5,9,6,5,5,2,6,7,7,12707
6,6,7,4,7,5,6,6,7,5,5,4,7,9,5,6,4,4,8,8,7,7,1,3,6,5,8,4,7,12707
8,5,5,9,7,6,7,4,4,6,6,5,4,4,5,6,6,6,6,5,5,5,7,5,6,6,4,8,5,12707
8,6,5,7,7,4,6,6,6,6,5,5,4,5,7,6,6,5,6,5,5,6,6,4,4,6,5,7,5,12707
9,8,8,6,8,7,4,8,6,8,7,8,8,7,9,8,9,9,7,7,7,7,8,8,8,8,7,9,6,12707
6,5,7,6,5,6,7,5,7,6,5,6,6,2,5,5,6,5,6,6,7,5,7,9,5,7,7,8,5,12707
6,3,4,5,4,3,9,7,7,5,6,4,3,9,5,7,2,4,7,5,7,6,3,3,6,5,6,4,6,12707
8,10,7,5,9,8,9,8,8,8,8,8,8,8,9,8,9,9,7,6,8,9,9,8,9,7,9,10,7,12707
7,5,5,7,5,6,3,5,2,4,4,5,6,6,7,5,5,6,4,3,3,2,5,4,2,5,3,6,3,12707
5,8,9,5,7,9,7,10,10,11,9,9,8,11,7,10,5,8,11,10,11,8,8,8,9,8,10,7,8,12707
8,9,8,8,8,9,9,9,10,8,9,8,8,8,8,9,8,9,10,8,11,10,9,9,8,9,10,9,8,12707
5,3,2,2,3,3,2,4,6,5,4,4,3,8,3,3,3,2,5,6,6,5,2,6,4,5,6,2,6,12707
7,6,5,6,6,6,4,5,5,7,5,5,5,4,5,6,5,5,6,5,6,5,7,5,5,5,5,5,4,12707
5,7,9,5,7,7,9,6,8,10,8,7,8,10,7,7,5,6,10,10,9,8,8,7,8,7,8,7,8,12707
3,3,4,3,3,2,5,4,3,7,6,4,6,5,2,1,4,2,3,5,6,5,4,3,4,1,5,4,1,12707
7,5,5,7,4,3,5,3,2,2,1,1,2,6,2,3,3,4,3,2,2,2,5,4,6,2,1,4,3,12707
2,7,8,3,5,7,8,8,8,8,11,9,8,9,7,8,5,7,9,9,10,6,7,7,6,8,8,6,8,12707
2,4,2,3,4,5,4,5,4,3,5,6,5,4,4,4,1,5,3,6,4,4,4,4,3,3,6,4,4,12707
5,3,3,2,4,4,5,5,7,6,4,6,3,9,4,2,3,3,7,7,7,6,1,9,5,5,6,4,6,12707
1,3,4,3,4,1,7,5,5,5,2,6,5,1,1,5,1,6,4,7,5,4,3,1,3,6,7,4,2,12707
8,11,10,9,10,11,7,11,10,8,10,10,9,11,9,9,10,11,9,7,9,9,9,11,10,10,8,10,9,12707
6,6,8,6,5,6,8,7,6,7,5,7,7,3,7,6,8,6,8,8,7,6,8,6,8,9,7,6,6,12707
6,1,4,3,3,3,1,3,6,5,4,4,2,2,4,4,2,4,3,3,6,5,3,7,4,2,4,2,6,12707
9,9,10,10,9,9,10,10,11,9,8,8,9,7,8,10,9,8,8,8,8,9,7,8,9,7,9,8,11,12707
5,4,6,7,3,6,6,1,2,1,2,3,4,6,4,4,6,4,4,1,1,1,5,5,2,6,3,4,5,12707
7,6,5,8,7,8,6,7,6,6,6,6,4,7,6,6,5,8,6,7,5,7,6,7,7,7,6,7,5,12707
4,5,4,5,2,5,2,5,3,5,4,3,3,4,4,3,6,3,5,5,5,4,6,5,3,5,4,5,4,12707
10,9,11,10,11,9,11,9,11,11,11,11,11,8,11,9,10,10,9,9,9,10,11,10,11,11,10,11,9,12707
4,8,8,7,7,7,8,7,4,7,6,9,7,7,6,8,5,8,6,7,7,8,8,7,8,8,7,7,9,12707
6,5,4,5,6,4,5,3,4,5,6,3,6,4,4,5,4,4,6,4,6,5,4,5,4,5,5,4,5,12707
5,1,2,3,5,3,6,5,5,5,6,4,5,2,4,5,4,3,5,7,7,6,3,9,4,3,6,4,4,12707
7,5,5,8,6,6,5,2,3,4,6,5,5,5,4,6,5,5,6,3,4,5,6,5,6,4,4,5,5,12707
4,5,6,6,5,4,5,2,4,2,4,5,6,6,5,4,7,5,2,3,2,2,5,4,3,2,3,5,2,12707
6,7,7,2,7,5,6,8,7,6,6,7,7,7,7,7,5,6,8,8,7,8,3,6,8,5,8,6,8,12707
5,9,8,8,8,8,7,9,8,9,9,9,9,7,9,8,8,7,9,8,8,8,11,4,7,10,7,9,9,12707
8,8,8,8,9,8,9,9,9,8,6,8,9,7,9,9,9,7,8,9,8,8,7,10,9,8,8,9,9,12707
5,8,7,7,6,5,4,7,5,7,8,9,8,7,8,7,7,7,7,7,7,5,8,7,8,7,7,6,6,12707
7,6,6,7,6,8,5,5,3,4,5,5,4,7,7,4,5,7,6,5,4,4,6,6,5,7,5,6,4,12707
7,6,5,7,6,7,5,2,1,3,3,5,6,6,5,5,6,5,4,2,2,3,5,5,1,3,4,4,6,12707
5,5,4,6,6,5,5,3,3,3,6,5,4,7,4,4,5,5,5,3,4,3,6,6,3,6,5,5,4,12707
6,5,6,8,7,10,6,5,7,5,4,6,6,7,8,7,9,9,7,5,1,1,5,7,6,6,1,7,4,12707
2,4,5,4,4,4,2,5,5,5,3,3,5,5,5,5,8,3,1,4,4,3,6,4,5,6,5,4,4,12707
8,8,7,10,9,8,8,8,9,8,8,8,9,7,9,9,7,8,8,8,6,9,8,8,9,9,8,10,7,12707
10,10,7,9,8,9,8,9,9,9,7,8,9,7,9,9,6,8,7,8,7,8,5,8,6,8,7,10,10,12707
3,2,6,6,2,2,1,1,1,1,4,1,5,6,3,3,4,4,2,1,1,1,5,3,2,2,3,3,2,12707
5,5,5,4,4,6,4,6,8,3,4,3,3,3,6,5,7,7,6,4,4,5,5,5,4,6,1,6,5,12707
5,3,2,4,5,5,6,6,3,4,5,2,6,6,5,5,5,7,5,5,4,4,4,3,6,6,2,7,4,12707
6,6,7,6,5,5,6,7,7,7,7,7,7,4,6,7,7,7,7,6,6,6,8,7,7,8,6,6,6,12707
3,4,4,3,3,4,3,3,5,7,3,4,3,7,3,2,4,2,2,3,6,5,4,6,5,4,6,1,3,12707
6,9,3,8,7,6,6,5,6,7,7,7,7,5,6,7,8,8,8,7,7,7,7,7,8,8,7,7,7,12707
10,9,9,8,8,7,8,8,6,8,9,7,9,7,8,7,9,9,8,8,8,7,9,10,9,9,9,9,7,12707
9,8,7,10,7,10,8,9,8,6,9,6,5,5,6,6,8,6,7,4,7,11,6,4,7,6,9,8,10,12707
1,1,2,1,1,1,1,3,5,5,1,6,4,2,1,1,3,1,4,4,5,4,3,1,1,2,5,1,1,12707
7,6,3,6,7,7,7,6,6,5,3,6,6,5,6,5,7,8,7,3,6,5,6,7,7,4,4,8,6,12707
6,7,7,5,6,5,5,7,7,7,8,7,7,8,7,8,6,5,9,9,8,7,7,7,7,8,9,6,7,12707
6,7,7,7,5,8,6,7,8,9,5,9,8,8,7,9,7,8,8,8,8,8,10,8,9,9,6,7,8,12707
8,7,9,6,7,7,7,7,7,7,8,6,6,3,6,8,6,8,7,6,7,9,3,6,6,5,9,7,7,12707
6,5,5,6,6,7,6,4,5,6,6,6,5,3,6,5,6,7,6,5,6,6,4,5,5,4,5,6,5,12707
4,4,5,5,3,6,3,2,4,3,4,3,4,5,4,4,3,6,4,2,4,4,6,6,6,6,4,5,5,12707
